city,State
HYDERABAD,AP
BANGALORE,KA
MUMBAI,MH
CHENNAI,TN
DELHI,DELHI
PUNE,MH
KOLKATA,WB
THANE,MH
AHMEDABAD,GJ
COIMBATORE,TN
NAGPUR,MH
SURAT,GJ
NAVI MUMBAI,MH
VISAKHAPATNAM,AP
NASIK,MH
LUDHIANA,PU
INDORE,MP
AURANGABAD,MH
BARODA,GJ
MADURAI,TN
PATNA,BH
COCHIN,KE
LUCKNOW,UP
JAIPUR,RJ
VIJAYAWADA,AP
SALEM,TN
TRICHUR,KE
JALANDHAR,PU
BHUBANESWAR,OR
CUTTACK,OR
MYSORE,KA
TIRUNELVELI,TN
AMRITSAR,PU
GUNTUR,AP
THANJAVUR,TN
SOLAPUR,MH
AGRA,UP
DEHRADUN,UK
MANGALORE,KA
BHOPAL,MP
EAST GODAVARI,AP
HOWRAH,WB
GHAZIABAD,UP
TIRUCHIRAPALLY,TN
CHANDIGARH,PU
TRIVANDRUM,KE
GURGAON,HR
VELLORE,TN
JAMSHEDPUR,BR
RANCHI,BR
PONDICHERRY,TN
PATIALA,PU
HOOGHLY,WB
BARDHAMAN,WB
RAIPUR,MP
KOZHIKODE,KE
KANYAKUMARI,TN
VARANASI,UP
VIRAR,MH
FARIDABAD,HR
NELLORE,AP
WARANGAL,AP
KOTTAYAM,KE
TIRUPATHI,AP
KOLHAPUR,MH
RAJKOT,RJ
ALAPPUZHA,KE
KURNOOL,AP
ACHANTA,AP
KOLLAM,KE
KANPUR,UP
24 PARGANAS,WB
DHANBAD,BR
MALAPURAM,KE
JABALPUR,MP
PURI,OR
ERODE,TN
GWALIOR,MP
SANGLI,MH
AMBALA,PU
BILASPUR,PU
ANANTPUR,PU
YAMUNANAGAR,HR
UDAIPUR,RJ
MEDEENIPUR,WB
JODHPUR,RJ
BHILAIDURG,MP
DINDIGUL,AP
BELGAUM,KA
WEST GODAVARI,AP
CHITTOOR,AP
KOTA,RJ
KARNAL,HR
JAMMU,PU
RAJAHMUNDRY,AP
AHMEDNAGAR,MH
JALGAON,MH
AMRAVATI,MH
SILIGURI,WB
KRISHNA,AP
PANIPAT,HR
CUDDAPAH,AP
SUNDARGARH,OR
DHARWAR,KA
NOIDA,UP
KURUKSHETRA,HR
GUWAHATI,WB
JAMNAGAR,GJ
TIRUVALLUR,TN
CANNANORE (KANNUR),KE
BHAVNAGAR,GJ
VIRUDHUNAGAR,TN
GULBARGA,KA
VALSAD,MH
BAREILLY,UP
CHANDRAPUR,TN
MUZAFFARPUR,BR
AJMER,RJ
DHARMAPURI,TN
KARIMNAGAR,AP
NAMAKKAL,TN
HOSHIARPUR,PU
BHARUCH,GJ
VIZIANAGARAM,AP
TIRUPUR,KA
KHAMMAM,AP
MOHALI,PU
BHILAI,MP
